topic,term,beta
1,ne,8.244886489126522e-11
2,ne,1.778790265145311e-14
3,ne,5.821555778658523e-13
4,ne,2.468444173433465e-20
5,ne,0.04155795860494671
1,se,0.007100642596826289
2,se,5.320066278482157e-17
3,se,3.133522651076368e-19
4,se,0.06526146535212371
5,se,1.7292546060373448e-9
1,alley,3.563423824418262e-46
2,alley,4.1976423832958516e-50
3,alley,0.0013587678052199247
4,alley,7.330199584073158e-17
5,alley,6.8970221938796314e-37
1,nw,9.727841067016396e-13
2,nw,0.013541707929506411
3,nw,9.176732359691623e-8
4,nw,9.553375401822444e-14
5,nw,3.0299765094143953e-5
1,hawthorne,1.014341972287425e-4
2,hawthorne,5.239704915019345e-19
3,hawthorne,3.454778339470646e-28
4,hawthorne,0.007051771799932708
5,hawthorne,5.566274428249025e-5
1,columbia,5.574957148925997e-4
2,columbia,0.0010875602927879243
3,columbia,9.819616800440022e-9
4,columbia,9.842988932940056e-23
5,columbia,0.0015414719711435284
1,lane,2.370684154685344e-19
2,lane,0.018008511175516728
3,lane,0.011584084464714716
4,lane,0.015754788653724365
5,lane,8.370673806795176e-8
1,â,6.198220898017538e-4
2,â,1.1290009826230472e-10
3,â,0.0024994334394592317
4,â,7.679572215772463e-4
5,â,3.580060529926749e-4
1,s.w,3.850623493448982e-4
2,s.w,1.5205960594785705e-63
3,s.w,1.6485574095153216e-4
4,s.w,1.6823725812010067e-53
5,s.w,1.2545891425615851e-33
1,school,0.024864500922700348
2,school,9.122659517640321e-14
3,school,2.4733040106731406e-17
4,school,2.509232177220191e-19
5,school,1.2896595055865513e-11
1,bike,4.386617622964405e-14
2,bike,0.03978975386392702
3,bike,5.6912255130332035e-9
4,bike,1.8706435786164857e-9
5,bike,7.94243891022095e-8
1,car,0.0022041599586708214
2,car,0.007815120745898744
3,car,0.008133207824872377
4,car,2.684147187780859e-4
5,car,0.005566232658118635
1,traffic,0.012072491415721216
2,traffic,0.017853871641844963
3,traffic,0.00782452729971147
4,traffic,0.03995387796226697
5,traffic,0.017664836625346163
1,ct,6.215254333281285e-18
2,ct,5.628253514154068e-21
3,ct,0.0021171498360404344
4,ct,1.1062641472696094e-18
5,ct,2.528859048170396e-23
1,speed,0.04780077688719961
2,speed,6.30904187290225e-7
3,speed,3.90770725466546e-21
4,speed,3.239021357861307e-8
5,speed,1.9317512419684724e-13
1,crossing,0.003194275039620206
2,crossing,3.320134127271892e-8
3,crossing,2.560649565733614e-12
4,crossing,2.8898542309459004e-7
5,crossing,0.014453773097157424
1,sw,4.796744896696526e-8
2,sw,3.000958599357971e-12
3,sw,0.03232597491140383
4,sw,1.2792378594787048e-15
5,sw,4.508526230572575e-9
1,stop,0.0078116830202884105
2,stop,0.04885445647126026
3,stop,2.6881642360126814e-10
4,stop,3.025250997146104e-4
5,stop,0.008536394065063315
1,patrick,3.3421815114820924e-4
2,patrick,3.327010716349646e-62
3,patrick,4.984560589605726e-37
4,patrick,3.7303230300812824e-58
5,patrick,3.0178841848932732e-5
1,trucks,3.898220817453202e-10
2,trucks,0.003691286287780274
3,trucks,0.004630657363549343
4,trucks,0.0032322729977674546
5,trucks,5.979210189960941e-5
1,sign,1.3480437400781925e-6
2,sign,0.03658549989284231
3,sign,0.004961237949432627
4,sign,0.006993210676960242
5,sign,0.004441342594179811
1,yamhill,8.657716944541722e-29
2,yamhill,1.7123296792063165e-13
3,yamhill,7.819134891625628e-31
4,yamhill,0.0034232522010440238
5,yamhill,5.6680489269396844e-11
1,86th,5.5972642114403244e-30
2,86th,4.409325161288027e-36
3,86th,5.840647503822392e-4
4,86th,1.3228426137988102e-4
5,86th,3.9850125038066876e-20
1,left,1.2127078174337245e-17
2,left,0.0010470295367633622
3,left,0.0021649561207405872
4,left,0.014387002297780503
5,left,0.010363872560032053
1,cars,0.012779375186405872
2,cars,0.011936304007322651
3,cars,0.008721117472894719
4,cars,0.009894753177703955
5,cars,0.01753324168195388
1,hill,0.002889093065824171
2,hill,0.0010709704002726365
3,hill,0.002170277266935255
4,hill,6.843949559403604e-8
5,hill,8.77666179264808e-6
1,harbor,2.873621977118888e-28
2,harbor,8.43745436825153e-10
3,harbor,0.0015483625510631027
4,harbor,2.5822900073834332e-61
5,harbor,4.1698312272030794e-32
1,marine,5.538601851535549e-4
2,marine,2.7805156764650697e-17
3,marine,2.1841491208739766e-15
4,marine,0.002865567889311193
5,marine,8.216971606233274e-24
1,shaver,7.525913711242948e-4
2,shaver,4.1075419847339844e-13
3,shaver,1.7228327969313515e-4
4,shaver,2.353274017866568e-36
5,shaver,2.505587280118398e-4
1,skidmore,7.009932205232966e-13
2,skidmore,9.179421895496454e-19
3,skidmore,1.5366132493347669e-19
4,skidmore,2.2486460832751866e-18
5,skidmore,0.0016006216575513556
1,intersection,6.870427668076941e-6
2,intersection,0.015782935946085
3,intersection,0.002691961185796802
4,intersection,0.008206806255445682
5,intersection,0.036971547083498785
1,503,5.056057391461939e-4
2,503,1.1084629500428806e-14
3,503,0.0011851365621586786
4,503,0.0010682055280315946
5,503,3.281782074783185e-8
1,lake,2.0279203571757054e-4
2,lake,6.032710761834659e-19
3,lake,1.1162629290267927e-23
4,lake,1.1153602240577636e-13
5,lake,3.7079889100158174e-4
1,driver,3.3949412959056644e-4
2,driver,0.0031287962901102805
3,driver,0.002059513899789528
4,driver,8.065854607157316e-4
5,driver,0.0015373240931320356
1,curve,7.16795625115176e-4
2,curve,0.001246737110940755
3,curve,0.0010654430704106542
4,curve,8.6808629486303e-20
5,curve,1.184397617719581e-16
1,sidewalk,3.2899634730021037e-4
2,sidewalk,2.2198268265660476e-4
3,sidewalk,0.006979687908461774
4,sidewalk,1.523973233484781e-4
5,sidewalk,0.0033161424829325943
1,box,1.2339766942597892e-19
2,box,0.0023043023877407174
3,box,4.865341119869053e-6
4,box,5.657100130407836e-21
5,box,9.014221832970806e-9
1,powell,7.701538394394874e-9
2,powell,3.6660832215307566e-32
3,powell,3.598480502911431e-31
4,powell,0.008764989878775775
5,powell,2.3440767342207058e-8
1,division,0.0015401341784161656
2,division,1.3317716154447905e-14
3,division,2.340411088198723e-16
4,division,0.007405978092433552
5,division,6.1919623403832236e-12
1,street,0.03280203084442919
2,street,0.011524997497370461
3,street,0.019657834409965276
4,street,0.009055719470132234
5,street,0.008664612411731835
1,vehicles,0.002185839271790891
2,vehicles,0.0018736155370392487
3,vehicles,0.006099621709718204
4,vehicles,0.002178578550603648
5,vehicles,0.0028600997145276485
1,bus,0.0029022638574496312
2,bus,0.002161045483235766
3,bus,0.0021361181523179935
4,bus,7.247443411747027e-12
5,bus,0.003543600194239509
1,wilamette,3.3525169799962447e-4
2,wilamette,3.0661365538709562e-15
3,wilamette,1.6315838937654037e-120
4,wilamette,8.880633631248544e-36
5,wilamette,2.0980287013994943e-39
1,siteâ,2.514387735015543e-4
2,siteâ,8.18183792995473e-93
3,siteâ,1.4757479558734204e-43
4,siteâ,1.3050645988953637e-153
5,siteâ,5.942509788647605e-164
1,pedestrian,0.0010817972742600377
2,pedestrian,3.344610160183641e-7
3,pedestrian,7.337760994632994e-12
4,pedestrian,1.2370243741451716e-10
5,pedestrian,0.014326104713552388
1,road,0.008168240165651913
2,road,0.0034566038781720476
3,road,0.011867580764166767
4,road,0.0027073847962213234
5,road,9.114145329354744e-4
1,dr,3.974696977657909e-4
2,dr,4.949956060865669e-12
3,dr,0.0010997056502451137
4,dr,0.0013723833047049176
5,dr,4.334464041077318e-5
1,cross,0.0048034404832474065
2,cross,6.546800423927566e-4
3,cross,2.855260740529053e-15
4,cross,4.975056051560078e-12
5,cross,0.016249455177701478
1,14th,1.5301479370366893e-12
2,14th,0.0018255585480510806
3,14th,2.551638749613848e-12
4,14th,3.3970436039312565e-8
5,14th,6.64506520471619e-4
1,oswego,1.8511694149503242e-4
2,oswego,8.153990590282135e-25
3,oswego,7.085779218858243e-33
4,oswego,6.357965607574264e-36
5,oswego,3.019041293059391e-4
1,driveway,8.702833713275703e-4
2,driveway,7.48040246527834e-12
3,driveway,0.004513923809893993
4,driveway,1.4505106280320793e-18
5,driveway,3.867145547173684e-12
1,building,4.246761526721461e-5
2,building,9.61841285478475e-13
3,building,0.0021879227052045143
4,building,5.950429343507198e-4
5,building,4.488213470770245e-4
1,killingsworth,7.448544745304571e-6
2,killingsworth,6.89895266849744e-4
3,killingsworth,6.444068938195617e-4
4,killingsworth,1.4663247525629832e-20
5,killingsworth,0.0017934657043082978
1,boones,0.0011174816385259917
2,boones,8.936471673061447e-33
3,boones,2.7169824326354345e-8
4,boones,2.2787812049369912e-45
5,boones,5.530048960372282e-36
1,ferry,2.66913742689321e-4
