Item_ID,total
1000141,48
1000160,26
1000307,23
1000339,56
1000535,52
1000727,2
1000929,32
1000947,11
1000957,2
1001205,36
1001349,28
1001497,101
1001732,19
1001781,128
1001791,14
1001863,59
1001910,9
1002412,77
1002563,16
1002593,21
1002648,25
1002685,50
1002721,38
1002883,58
1002920,10
1002923,6
1002948,140
1002991,39
1003546,50
1003618,151
1003779,13
1003937,57
1004195,43
1004333,45
1004360,40
1004406,113
1004540,51
1004551,40
1004562,30
1004603,22
1004727,59
1004821,70
1005414,22
1005450,9
1005617,43
1005834,21
1005854,98
1005875,25
1005878,36
1005945,28
1005946,20
1006011,40
1006118,17
1006199,65
1006333,150
1006338,25
1006418,70
1006481,3
1006548,12
1006593,25
1006594,25
1006608,14
1006615,31
1006967,2
1007247,59
1007260,7
1007287,3
1007470,7
1007564,28
1007699,53
1007711,38
1007757,4
1007914,38
1007928,42
1007940,28
1008031,9
1008123,51
1008166,20
1008324,43
1008439,50
1008540,28
1008588,23
1008736,13
1008784,30
1009000,14
1009099,10
1009569,67
1009594,33
1009842,19
1009865,29
1010082,65
1010283,4
1010389,41
1010417,3
1010521,80
1010833,3
1011024,22
1011026,33
1011081,8
1011259,19
1011469,24
1011810,6
1011856,140
1011859,27
1011932,175
1011977,41
1012045,54
1012159,58
1012182,3
1012267,10
1012273,19
1012329,17
1012352,10
1012380,26
1012463,59
1012665,44
1012784,95
1012838,35
1012886,69
1013378,3
1013420,18
1013532,3
1013817,16
1013838,2
1013841,3
1013907,101
1013965,18
1014009,7
1014012,8
1014016,19
1014025,23
1014033,8
1014036,28
1014046,45
1014052,9
1014058,48
1014078,44
1014086,24
1014087,11
1014207,25
1014260,72
1014269,48
1014286,45
1014379,20
1014408,18
1014425,21
1014457,9
1014459,47
1014461,20
1014463,55
1014517,23
1014545,38
1014655,60
1014823,52
1014848,36
1015329,12
1015358,29
1015470,25
1015521,22
1015561,48
1015610,30
1015611,46
1015615,31
1015707,26
1015708,5
1015735,30
1015790,36
1015810,19
1016110,14
1016336,39
1016701,57
1016711,57
1016792,56
1016955,90
1017054,61
1017087,84
1017288,68
1017323,39
1017357,80
1017379,52
1017833,54
1017873,2
1017888,2
1017913,5
1017927,55
1017979,78
1018185,37
1018204,80
1018726,28
1019084,36
1019427,97
1019457,26
1019587,51
1019840,20
1019962,89
1020556,35
1020583,18
1020730,47
1020786,75
1020949,44
1021015,21
1021054,33
1021056,9
1021063,46
1021066,50
1021539,20
1022212,23
1022257,51
1022290,73
1022914,18
1022918,11
1023117,15
1023139,26
1023145,74
1023158,13
1023228,4
1023379,13
1023385,17
1023387,17
1023548,14
1023549,38
1023782,29
1023786,29
1023815,27
1023835,12
1023839,131
1023849,17
1023859,15
1023871,14
1023998,16
1024003,31
1024079,100
1024083,58
1024313,48
1024459,20
1024477,25
1024668,28
1024695,42
1024700,43
1024745,52
1025049,10
1025169,27
1025434,52
1025684,34
1025724,27
1025757,6
1025794,66
1025998,40
1026084,2
1026197,29
1026203,23
1026205,32
1026338,34
1026348,29
1026429,5
1026430,2
1026551,61
1026562,36
1026641,27
1026693,70
1026731,35
