"table_catalog","table_schema","table_name","table_type","self_referencing_column_name","reference_generation","user_defined_type_catalog","user_defined_type_schema","user_defined_type_name","is_insertable_into","is_typed","commit_action"
"odot_crash_data","odot_crash_data_schema","actn","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","cause","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","city_fips_hist","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","city_sect","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","cmpss_drct","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","cnty","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","collis_typ","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","crash","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","crash_hr","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","crash_key_xref","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","crash_svrty","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","crash_typ","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","drvr_lic_stat","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","drvr_res_stat","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","err","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","evnt","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","func_class","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","hwy_compnt","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","hwy_hist","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","impct_loc","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","inj_svrty","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","invstg_agy","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","isect_typ","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","jrsdct_grp","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","lgt_cond","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","medn_typ","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","mlge_typ","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","mvmnt","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","non_motrst_loc","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","partic","FOREIGN TABLE","","","","","","NO","NO",""
"odot_crash_data","odot_crash_data_schema","partic_typ","FOREIGN TABLE","","","","","","NO","NO",""
